address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
5142 SW Iowa St,Portland,OR,97221,"$745,000",4,2,"2,200",45.479633,-122.73012,Active,https://www.zillow.com/homedetails/5142-SW-Iowa-St-Portland-OR-97221/176558640_zpid/,06-23-2022_21:20:34,176558640,Open: Sat. 1-3pm
302 N Bridgeton Rd,Portland,OR,97217,"$3,000,000",-,-,--,45.602837,-122.66913,Active,https://www.zillow.com/homedetails/302-N-Bridgeton-Rd-Portland-OR-97217/2062744704_zpid/,06-23-2022_21:20:34,2062744704,7 days on Zillow
1220 NE 17th Ave APT 6B,Portland,OR,97232,"$353,000",2,1,994,45.531887,-122.64796,Active,https://www.zillow.com/homedetails/1220-NE-17th-Ave-APT-6B-Portland-OR-97232/53968344_zpid/,06-23-2022_21:20:34,53968344,7 days on Zillow
7412 SE 114th Ave,Portland,OR,97266,"$595,000",5,4,"3,588",45.46934,-122.54573,Active,https://www.zillow.com/homedetails/7412-SE-114th-Ave-Portland-OR-97266/79894005_zpid/,06-23-2022_21:20:34,79894005,7 days on Zillow
8523 N Newman Ave,Portland,OR,97203,"$369,900",2,1,"2,370",45.5848,-122.715706,Active,https://www.zillow.com/homedetails/8523-N-Newman-Ave-Portland-OR-97203/53868862_zpid/,06-23-2022_21:20:34,53868862,7 days on Zillow
8911 E Burnside St,Portland,OR,97216,"$549,000",4,1,"2,969",45.52297,-122.57208,Active,https://www.zillow.com/homedetails/8911-E-Burnside-St-Portland-OR-97216/53977748_zpid/,06-23-2022_21:20:34,53977748,3D Homes Icon3D Tour
2370 NW Birkendene St,Portland,OR,97229,"$979,500",4,3,"2,950",45.539444,-122.77561,Active,https://www.zillow.com/homedetails/2370-NW-Birkendene-St-Portland-OR-97229/53912974_zpid/,06-23-2022_21:20:34,53912974,Open: Sat. 11am-1pm
5820 NE Halsey St,Portland,OR,97213,"$479,000",3,2,"2,172",45.533497,-122.60349,Active,https://www.zillow.com/homedetails/5820-NE-Halsey-St-Portland-OR-97213/53958681_zpid/,06-23-2022_21:20:34,53958681,Open: Sat. 11am-1pm
3006 NE 56th Ave,Portland,OR,97213,"$499,000",2,1,"1,436",45.544678,-122.60528,Active,https://www.zillow.com/homedetails/3006-NE-56th-Ave-Portland-OR-97213/53946543_zpid/,06-23-2022_21:20:34,53946543,Open: Sat. 10am-12pm
2056 NW Village Cir,Portland,OR,97229,"$530,000",2,3,"1,680",45.537594,-122.780785,Active,https://www.zillow.com/homedetails/2056-NW-Village-Cir-Portland-OR-97229/2143416723_zpid/,06-23-2022_21:20:34,2143416723,Open: Sun. 1-3pm
7370 Imogene Ter,Portland,OR,97229,"$948,984",4,3,"2,847",,,Active,https://www.zillow.com/homedetails/7370-Imogene-Ter-Portland-OR-97229/2062751658_zpid/,06-23-2022_21:20:34,2062751658,8 days on Zillow
4529 SE Taggart St,Portland,OR,97206,"$535,000",3,1,"2,068",45.50287,-122.61537,Active,https://www.zillow.com/homedetails/4529-SE-Taggart-St-Portland-OR-97206/53910583_zpid/,06-23-2022_21:20:34,53910583,8 days on Zillow
3706 NE 116th Ave,Portland,OR,97220,"$579,900",4,2,"2,105",45.55005,-122.542625,Active,https://www.zillow.com/homedetails/3706-NE-116th-Ave-Portland-OR-97220/53977608_zpid/,06-23-2022_21:20:34,53977608,Open: Sat. 12-3pm
4305 SW 58th Ave,Portland,OR,97221,"$995,000",4,4,"4,142",45.491905,-122.73761,Active,https://www.zillow.com/homedetails/4305-SW-58th-Ave-Portland-OR-97221/53998089_zpid/,06-23-2022_21:20:34,53998089,Open: Sat. 12-2pm
12644 SE Foster Rd APT C,Portland,OR,97236,"$309,990",3,2,"1,342",45.475887,-122.533134,Active,https://www.zillow.com/homedetails/12644-SE-Foster-Rd-APT-C-Portland-OR-97236/53867231_zpid/,06-23-2022_21:20:34,53867231,3D Homes Icon3D Tour
