address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id
Sorrento Plan,,,,"$551,276",2,3,"1,467",35.2399,-80.864,New construction,https://www.zillow.com/community/west-end-towns/2067068576_zpid/,06-23-2022_21:45:40,2067068576
3401 Bonaire Dr,Charlotte,NC,28208,"$425,000",3,1,"1,545",35.24198,-80.88584,House for sale,https://www.zillow.com/homedetails/3401-Bonaire-Dr-Charlotte-NC-28208/6176851_zpid/,06-23-2022_21:45:40,6176851
16435 Doves Canyon Ln,Charlotte,NC,28278,"$776,000",4,4,"3,553",35.07452,-81.0414,House for sale,https://www.zillow.com/homedetails/16435-Doves-Canyon-Ln-Charlotte-NC-28278/83963735_zpid/,06-23-2022_21:45:40,83963735
3240 Park Rd,Charlotte,NC,28209,"$609,000",2,3,"1,578",35.18589,-80.853516,Coming soon,https://www.zillow.com/homedetails/3240-Park-Rd-Charlotte-NC-28209/80460681_zpid/,06-23-2022_21:45:40,80460681
10126 Old Carolina Dr,Charlotte,NC,28214,"$403,000",3,3,"1,466",35.32674,-80.96289,House for sale,https://www.zillow.com/homedetails/10126-Old-Carolina-Dr-Charlotte-NC-28214/65035272_zpid/,06-23-2022_21:45:40,65035272
8795 Robinson Forest Dr,Charlotte,NC,28277,"$445,000",4,4,"2,635",35.049866,-80.81863,Townhouse for sale,https://www.zillow.com/homedetails/8795-Robinson-Forest-Dr-Charlotte-NC-28277/65029410_zpid/,06-23-2022_21:45:40,65029410
6727 Coral Rose Rd,Charlotte,NC,28277,"$759,000",5,3,"3,634",35.053963,-80.79356,House for sale,https://www.zillow.com/homedetails/6727-Coral-Rose-Rd-Charlotte-NC-28277/117451573_zpid/,06-23-2022_21:45:40,117451573
8215 Knollwood Ct W,Charlotte,NC,28213,"$549,900",5,3,"2,713",35.28924,-80.74403,Coming soon,https://www.zillow.com/homedetails/8215-Knollwood-Ct-W-Charlotte-NC-28213/6163843_zpid/,06-23-2022_21:45:40,6163843
2009 Federation Ct #56,Charlotte,NC,28205,"$464,090",2,3,"1,313",,,New construction,https://www.zillow.com/homedetails/2009-Federation-Ct-56-Charlotte-NC-28205/2062795596_zpid/,06-23-2022_21:45:40,2062795596
2011 Federation Ct #57,Charlotte,NC,28205,"$443,935",2,3,"1,313",,,New construction,https://www.zillow.com/homedetails/2011-Federation-Ct-57-Charlotte-NC-28205/2062795653_zpid/,06-23-2022_21:45:40,2062795653
3005 Citizens Ln #52,Charlotte,NC,28205,"$518,625",3,4,"1,523",,,New construction,https://www.zillow.com/homedetails/3005-Citizens-Ln-52-Charlotte-NC-28205/2062795700_zpid/,06-23-2022_21:45:40,2062795700
