address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
5500 Donald Rd,Las Vegas,NV,89131,"$850,000",3,2,"1,836",36.28944,-115.216805,House for sale,6894857,https://www.zillow.com/homedetails/5500-Donald-Rd-Las-Vegas-NV-89131/6894857_zpid/,06-10-2022_19:30:32
4121 Bewitched Ct,Las Vegas,NV,89115,"$305,000",2,2,"1,056",36.193493,-115.08413,House for sale,66821408,https://www.zillow.com/homedetails/4121-Bewitched-Ct-Las-Vegas-NV-89115/66821408_zpid/,06-10-2022_19:30:32
6416 Melody Rose Ave,Las Vegas,NV,89108,"$280,000",3,2,"1,182",36.200043,-115.233665,Townhouse for sale,6952682,https://www.zillow.com/homedetails/6416-Melody-Rose-Ave-Las-Vegas-NV-89108/6952682_zpid/,06-10-2022_19:30:32
3005 Stern Dr,Las Vegas,NV,89117,"$770,000",4,3,"2,974",36.13619,-115.3014,House for sale,7113980,https://www.zillow.com/homedetails/3005-Stern-Dr-Las-Vegas-NV-89117/7113980_zpid/,06-10-2022_19:30:32
4600 Mancilla St,Las Vegas,NV,89130,"$419,900",3,2,"1,586",36.243553,-115.22051,House for sale,6916906,https://www.zillow.com/homedetails/4600-Mancilla-St-Las-Vegas-NV-89130/6916906_zpid/,06-10-2022_19:30:32
9429 Bondeno St,Las Vegas,NV,89123,"$740,000",4,4,"3,203",36.017815,-115.12729,House for sale,7173912,https://www.zillow.com/homedetails/9429-Bondeno-St-Las-Vegas-NV-89123/7173912_zpid/,06-10-2022_19:30:32
801 Dana Hills Ct UNIT 203,Las Vegas,NV,89134,"$475,000",2,2,"1,427",36.18135,-115.297905,Condo for sale,6969407,https://www.zillow.com/homedetails/801-Dana-Hills-Ct-UNIT-203-Las-Vegas-NV-89134/6969407_zpid/,06-10-2022_19:30:32
2401 Deer Lake St,Las Vegas,NV,89134,"$1,190,000",3,3,"2,462",36.20427,-115.33384,House for sale,6907420,https://www.zillow.com/homedetails/2401-Deer-Lake-St-Las-Vegas-NV-89134/6907420_zpid/,06-10-2022_19:30:32
420 Emerald Heights St,Las Vegas,NV,89144,"$770,000",3,3,"2,674",36.178226,-115.332245,House for sale,6912629,https://www.zillow.com/homedetails/420-Emerald-Heights-St-Las-Vegas-NV-89144/6912629_zpid/,06-10-2022_19:30:32
7916 Westcliff Dr,Las Vegas,NV,89145,"$615,000",3,5,"1,948",36.174202,-115.26694,House for sale,6967932,https://www.zillow.com/homedetails/7916-Westcliff-Dr-Las-Vegas-NV-89145/6967932_zpid/,06-10-2022_19:30:32
9223 Tesoras Dr UNIT 302,Las Vegas,NV,89144,"$1,199,999",2,3,"1,982",36.173817,-115.29836,Condo for sale,89792586,https://www.zillow.com/homedetails/9223-Tesoras-Dr-UNIT-302-Las-Vegas-NV-89144/89792586_zpid/,06-10-2022_19:30:32
6608 Plumflower Ln,Las Vegas,NV,89108,"$298,000",2,2,"1,248",36.2399,-115.23996,Home for sale,81832237,https://www.zillow.com/homedetails/6608-Plumflower-Ln-Las-Vegas-NV-89108/81832237_zpid/,06-10-2022_19:30:32
1109 Enderly Ln,Las Vegas,NV,89144,"$615,000",4,3,"1,988",36.18467,-115.316795,House for sale,6913483,https://www.zillow.com/homedetails/1109-Enderly-Ln-Las-Vegas-NV-89144/6913483_zpid/,06-10-2022_19:30:32
1017 Novara Ln,Las Vegas,NV,89144,"$520,000",3,3,"1,495",36.18405,-115.321335,House for sale,6913587,https://www.zillow.com/homedetails/1017-Novara-Ln-Las-Vegas-NV-89144/6913587_zpid/,06-10-2022_19:30:32
10721 Esk Dr,Las Vegas,NV,89144,"$675,000",3,2,"2,230",36.172363,-115.330086,House for sale,6914956,https://www.zillow.com/homedetails/10721-Esk-Dr-Las-Vegas-NV-89144/6914956_zpid/,06-10-2022_19:30:32
612 Blue Yucca St,Las Vegas,NV,89144,"$478,500",3,3,"1,564",36.16645,-115.32647,House for sale,6915883,https://www.zillow.com/homedetails/612-Blue-Yucca-St-Las-Vegas-NV-89144/6915883_zpid/,06-10-2022_19:30:32
8741 Harvest Valley Ave,Las Vegas,NV,89129,"$420,000",3,2,"1,613",36.22696,-115.285965,House for sale,6926286,https://www.zillow.com/homedetails/8741-Harvest-Valley-Ave-Las-Vegas-NV-89129/6926286_zpid/,06-10-2022_19:30:32
5196 Sawyer Ave,Las Vegas,NV,89108,"$639,000",4,3,"2,714",36.19714,-115.21137,House for sale,6956438,https://www.zillow.com/homedetails/5196-Sawyer-Ave-Las-Vegas-NV-89108/6956438_zpid/,06-10-2022_19:30:32
113 N Minnesota St,Las Vegas,NV,89107,"$279,999",3,2,"1,086",36.175186,-115.21031,House for sale,6959345,https://www.zillow.com/homedetails/113-N-Minnesota-St-Las-Vegas-NV-89107/6959345_zpid/,06-10-2022_19:30:32
700 Raintree Ln,Las Vegas,NV,89107,"$309,900",2,2,"1,297",36.180058,-115.23525,Townhouse for sale,6960547,https://www.zillow.com/homedetails/700-Raintree-Ln-Las-Vegas-NV-89107/6960547_zpid/,06-10-2022_19:30:32
8137 Bay Springs Dr,Las Vegas,NV,89128,"$488,000",3,3,"1,582",36.184376,-115.27323,House for sale,6965538,https://www.zillow.com/homedetails/8137-Bay-Springs-Dr-Las-Vegas-NV-89128/6965538_zpid/,06-10-2022_19:30:32
4955 Jeffreys St UNIT 116,Las Vegas,NV,89119,"$149,000",1,1,462,36.099598,-115.12196,Condo for sale,7101779,https://www.zillow.com/homedetails/4955-Jeffreys-St-UNIT-116-Las-Vegas-NV-89119/7101779_zpid/,06-10-2022_19:30:32
6425 Diego Dr,Las Vegas,NV,89156,"$375,000",3,2,"1,788",36.195023,-115.03241,House for sale,66840520,https://www.zillow.com/homedetails/6425-Diego-Dr-Las-Vegas-NV-89156/66840520_zpid/,06-10-2022_19:30:32
2230 Shatz St,Las Vegas,NV,89156,"$355,000",2,2,"1,350",36.19965,-115.03074,House for sale,7026463,https://www.zillow.com/homedetails/2230-Shatz-St-Las-Vegas-NV-89156/7026463_zpid/,06-10-2022_19:30:32
7583 Chambery Cove Ct,Las Vegas,NV,89123,"$560,000",3,2,"1,924",36.052326,-115.134735,House for sale,69811573,https://www.zillow.com/homedetails/7583-Chambery-Cove-Ct-Las-Vegas-NV-89123/69811573_zpid/,06-10-2022_19:30:32
Plan 2469 Plan,,,,"$481,990",4,3,"2,469",36.261593,-115.33258,New construction,2063035864,https://www.zillow.com/community/landings-at-montalado-north/2063035864_zpid/,06-10-2022_19:30:32
905 Shady Creek Dr,Las Vegas,NV,89108,"$365,000",3,3,"1,811",36.181602,-115.22824,House for sale,6961876,https://www.zillow.com/homedetails/905-Shady-Creek-Dr-Las-Vegas-NV-89108/6961876_zpid/,06-10-2022_19:30:32
6929 Poseidon St,Las Vegas,NV,89131,"$480,000",3,2,"1,712",36.286808,-115.26924,House for sale,6894231,https://www.zillow.com/homedetails/6929-Poseidon-St-Las-Vegas-NV-89131/6894231_zpid/,06-10-2022_19:30:32
7925 Limbwood Ct,Las Vegas,NV,89131,"$449,999",4,3,"1,883",36.30437,-115.2617,House for sale,6891998,https://www.zillow.com/homedetails/7925-Limbwood-Ct-Las-Vegas-NV-89131/6891998_zpid/,06-10-2022_19:30:32
5365 Java Plum St LOT 152,Las Vegas,NV,89113,"$602,990",5,3,"2,665",,,House for sale,2062916891,https://www.zillow.com/homedetails/5365-Java-Plum-St-LOT-152-Las-Vegas-NV-89113/2062916891_zpid/,06-10-2022_19:30:32
163 Medianoche St,Las Vegas,NV,89138,"$756,471",3,3,"2,219",36.185673,-115.360504,New construction,2065139248,https://www.zillow.com/homedetails/163-Medianoche-St-Las-Vegas-NV-89138/2065139248_zpid/,06-10-2022_19:30:32
3091 Indigo Macaw Ln,Las Vegas,NV,89138,"$3,100,000",5,5,"3,956",36.216354,-115.344124,House for sale,299618803,https://www.zillow.com/homedetails/3091-Indigo-Macaw-Ln-Las-Vegas-NV-89138/299618803_zpid/,06-10-2022_19:30:32
11381 Perugino Dr,Las Vegas,NV,89138,"$1,450,000",5,4,"3,390",36.175198,-115.34342,House for sale,59433099,https://www.zillow.com/homedetails/11381-Perugino-Dr-Las-Vegas-NV-89138/59433099_zpid/,06-10-2022_19:30:32
3133 Bel Air Dr,Las Vegas,NV,89109,"$700,000",3,3,"1,672",36.132423,-115.141914,House for sale,7085738,https://www.zillow.com/homedetails/3133-Bel-Air-Dr-Las-Vegas-NV-89109/7085738_zpid/,06-10-2022_19:30:32
2705 Orchid Valley Dr,Las Vegas,NV,89134,"$620,000",2,2,"1,703",36.209175,-115.325485,House for sale,6906935,https://www.zillow.com/homedetails/2705-Orchid-Valley-Dr-Las-Vegas-NV-89134/6906935_zpid/,06-10-2022_19:30:32
7613 Cruz Bay Ct,Las Vegas,NV,89128,"$595,000",4,3,"2,247",36.212044,-115.26168,House for sale,6938881,https://www.zillow.com/homedetails/7613-Cruz-Bay-Ct-Las-Vegas-NV-89128/6938881_zpid/,06-10-2022_19:30:32
