address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
11717 S Princeton Ave,Chicago,IL,60628,"$149,900",4,2,--,41.681072,-87.629616,New,2098853566,https://www.zillow.com/homedetails/11717-S-Princeton-Ave-Chicago-IL-60628/2098853566_zpid/,06-10-2022_19:19:22
1912 W Estes Ave APT 2,Chicago,IL,60626,"$300,000",2,2,"1,500",42.011677,-87.67872,New,89934387,https://www.zillow.com/homedetails/1912-W-Estes-Ave-APT-2-Chicago-IL-60626/89934387_zpid/,06-10-2022_19:19:22
2508 N Southport Ave #2,Chicago,IL,60614,"$469,000",2,2,--,41.927357,-87.663734,New,65546558,https://www.zillow.com/homedetails/2508-N-Southport-Ave-2-Chicago-IL-60614/65546558_zpid/,06-10-2022_19:19:22
240 E Illinois St APT 805,Chicago,IL,60611,"$375,000",1,1,950,41.891693,-87.620445,New,89939248,https://www.zillow.com/homedetails/240-E-Illinois-St-APT-805-Chicago-IL-60611/89939248_zpid/,06-10-2022_19:19:22
170 W Goethe St,Chicago,IL,60610,"$795,000",3,3,--,41.90586,-87.63411,New,2080745854,https://www.zillow.com/homedetails/170-W-Goethe-St-Chicago-IL-60610/2080745854_zpid/,06-10-2022_19:19:22
2704 N Bosworth Ave #1N,Chicago,IL,60614,"$1,150,000",4,4,--,,,New,2075439755,https://www.zillow.com/homedetails/2704-N-Bosworth-Ave-1N-Chicago-IL-60614/2075439755_zpid/,06-10-2022_19:19:22
111 E Chestnut St APT 11J,Chicago,IL,60611,"$379,000",2,1,"1,000",41.89821,-87.62524,New,2084412038,https://www.zillow.com/homedetails/111-E-Chestnut-St-APT-11J-Chicago-IL-60611/2084412038_zpid/,06-10-2022_19:19:22
5926 S Elizabeth St,Chicago,IL,60636,"$199,900",7,4,--,41.78599,-87.65623,New,2092635737,https://www.zillow.com/homedetails/5926-S-Elizabeth-St-Chicago-IL-60636/2092635737_zpid/,06-10-2022_19:19:22
2221 W Cortland St #2,Chicago,IL,60647,"$379,000",3,1,--,41.91588,-87.683334,New,80823394,https://www.zillow.com/homedetails/2221-W-Cortland-St-2-Chicago-IL-60647/80823394_zpid/,06-10-2022_19:19:22
4831 N Harlem Ave #3N,Chicago,IL,60656,"$129,900",1,1,800,41.969173,-87.806755,New,2062928088,https://www.zillow.com/homedetails/4831-N-Harlem-Ave-3N-Chicago-IL-60656/2062928088_zpid/,06-10-2022_19:19:22
4333 N Meade Ave,Chicago,IL,60634,"$329,900",4,1,--,41.959476,-87.77908,New,3652300,https://www.zillow.com/homedetails/4333-N-Meade-Ave-Chicago-IL-60634/3652300_zpid/,06-10-2022_19:19:22
9927 S Green St,Chicago,IL,60643,"$255,000",4,2,"2,100",41.71328,-87.64387,New,4129079,https://www.zillow.com/homedetails/9927-S-Green-St-Chicago-IL-60643/4129079_zpid/,06-10-2022_19:19:22
